,DTA_S15 Data,DTA_S16 Data,DTA_S17A Data,DTA_S17B Data,KW_S15 Data,KW_S16 Data,KW_S17A Data,KW_S17B Data,TILN_S15 Data,TILN_S16 Data,TILN_S17A Data,TILN_S17B Data,PLHT_S15 Data,PLHT_S16 Data,PLHT_S17A Data,PLHT_S17B Data
W22 x TIL14 BC1S4# Line_B059,NA,70,87,NA,NA,0.20744,0.189918367,NA,NA,0,1.125,NA,NA,NA,152,NA
W22 x TIL14 BC1S4# Line_B060,NA,74,86,NA,NA,0.21396,0.16074,NA,NA,0.5,1.25,NA,NA,NA,165,NA
W22 x TIL14 BC1S4# Line_B061,NA,67,78,NA,NA,0.21492,0.22212,NA,NA,1,3,NA,NA,NA,143.5,NA
W22 x TIL14 BC1S4# Line_B062,NA,69,79,NA,NA,0.2564,0.25258,NA,NA,0.5,1.375,NA,NA,NA,151.875,NA
W22 x TIL14 BC1S4# Line_B063,NA,82,96,NA,NA,0.1754,0.15192,NA,NA,1.375,1.875,NA,NA,NA,157.625,NA
W22 x TIL14 BC1S4# Line_B064,NA,73,85,NA,NA,0.20576,0.17996,NA,NA,1.125,2.125,NA,NA,NA,164.625,NA
W22 x TIL14 BC1S4# Line_B065,NA,67,77,NA,NA,0.21416,0.1836,NA,NA,0.125,1,NA,NA,NA,128.75,NA
W22 x TIL14 BC1S4# Line_B066,NA,74,87,NA,NA,0.21454,NA,NA,NA,0.25,2.125,NA,NA,NA,159.2857143,NA
W22 x TIL14 BC1S4# Line_B067,NA,67,80,NA,NA,0.16606,0.17368,NA,NA,1.375,1.125,NA,NA,NA,172,NA
W22 x TIL14 BC1S4# Line_B068,NA,69,80,NA,NA,0.18318,0.18386,NA,NA,0.625,1.875,NA,NA,NA,173.875,NA
W22 x TIL14 BC1S4# Line_B069,NA,76,81,NA,NA,0.16318,0.2042,NA,NA,1,1.5,NA,NA,NA,177,NA
W22 x TIL14 BC1S4# Line_B070,NA,85,100,NA,NA,NA,NA,NA,NA,0.625,1.5,NA,NA,NA,130.375,NA
W22 x TIL14 BC1S4# Line_B071,NA,75,85,NA,NA,0.18538,0.13952,NA,NA,0.375,1.625,NA,NA,NA,177.125,NA
W22 x TIL14 BC1S4# Line_B072,NA,71,83,NA,NA,0.19816,0.19612,NA,NA,0,1,NA,NA,NA,172.375,NA
W22 x TIL14 BC1S4# Line_B074,NA,73,83,NA,NA,0.23176,0.19006,NA,NA,1.5,3.25,NA,NA,NA,147.875,NA
W22 x TIL14 BC1S4# Line_B075,NA,74,84,NA,NA,0.17878,0.17518,NA,NA,0.5,1.25,NA,NA,NA,131.375,NA
W22 x TIL14 BC1S4# Line_B076,NA,78,95,NA,NA,0.165884615,0.19218,NA,NA,0.875,1.625,NA,NA,NA,141.25,NA
W22 x TIL14 BC1S4# Line_B078,NA,72,84,NA,NA,0.24674,0.17592,NA,NA,0.5,1.625,NA,NA,NA,167.625,NA
W22 x TIL14 BC1S4# Line_B079,NA,69,80,NA,NA,0.19696,0.1769,NA,NA,0,1,NA,NA,NA,127.125,NA
W22 x TIL14 BC1S4# Line_C001,NA,90,NA,NA,NA,0.1475,0.13424,NA,NA,1.125,2,NA,NA,NA,122.5,NA
W22 x TIL14 BC1S4# Line_C003,NA,74,82,NA,NA,0.17472,0.1851,NA,NA,1.25,1.625,NA,NA,NA,157.25,NA
W22 x TIL14 BC1S4# Line_C004,NA,71,83,NA,NA,0.13628,0.10892,NA,NA,1.25,2.625,NA,NA,NA,138.375,NA
W22 x TIL14 BC1S4# Line_C005,NA,71,80,NA,NA,0.18104,0.15924,NA,NA,0,1,NA,NA,NA,146.125,NA
W22 x TIL14 BC1S4# Line_C006,NA,81,97,NA,NA,0.197666667,0.067666667,NA,NA,0.25,2,NA,NA,NA,131.75,NA
